iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","JSONPlaceholder","GET all","GET","http://jsonplaceholder.org/posts","OK","200","380","141604",,,,"0","0","0","0"
"1","JSONPlaceholder","GET :id","GET","http://jsonplaceholder.org/posts/6","OK","200","127","1717",,,,"0","0","0","0"
"1","JSONPlaceholder","GET ?id=""""","GET","http://jsonplaceholder.org/posts?id=7","OK","200","125","141604",,,,"0","0","0","0"
"1","JSONPlaceholder","POST","POST","http://jsonplaceholder.org/posts","OK","200","131","141604",,,,"0","0","0","0"
"1","JSONPlaceholder","PUT :id","PUT","http://jsonplaceholder.org/posts/1","OK","200","123","1756",,,,"0","0","0","0"
"1","JSONPlaceholder","PATCH :id","PATCH","http://jsonplaceholder.org/posts/5","OK","200","118","1441",,,,"0","0","0","0"
"1","JSONPlaceholder","DELETE :id","DELETE","http://jsonplaceholder.org/posts/1","OK","200","121","1756",,,,"0","0","0","0"
"1","JSONPlaceholder","GET all","GET","http://jsonplaceholder.org/users","OK","200","117","19631",,,,"0","0","0","0"
"1","JSONPlaceholder","GET :id","GET","http://jsonplaceholder.org/users/6","OK","200","801","660",,,,"0","0","0","0"
"1","JSONPlaceholder","GET ?id=""""","GET","http://jsonplaceholder.org/users?id=7","OK","200","127","649",,,,"0","0","0","0"
"1","JSONPlaceholder","POST","POST","http://jsonplaceholder.org/users/","OK","200","117","19631",,,,"0","0","0","0"
"1","JSONPlaceholder","PATCH :id","PATCH","http://jsonplaceholder.org/users/5","OK","200","121","657",,,,"0","0","0","0"
"1","JSONPlaceholder","PUT :id","PUT","http://jsonplaceholder.org/users/1","OK","200","119","636",,,,"0","0","0","0"
"1","JSONPlaceholder","DELETE :id","DELETE","http://jsonplaceholder.org/users/1","OK","200","132","636",,,,"0","0","0","0"
"1","JSONPlaceholder","GET all","GET","http://jsonplaceholder.org/comments","OK","200","119","14748",,,,"0","0","0","0"
"1","JSONPlaceholder","GET :id","GET","http://jsonplaceholder.org/comments/7","OK","200","118","607",,,,"0","0","0","0"
"1","JSONPlaceholder","GET ?id=""""","GET","http://jsonplaceholder.org/comments?id=7","OK","200","120","607",,,,"0","0","0","0"
"1","JSONPlaceholder","POST","POST","http://jsonplaceholder.org/comments/","OK","200","126","14748",,,,"0","0","0","0"
"1","JSONPlaceholder","PATCH :id","PATCH","http://jsonplaceholder.org/comments/6","OK","200","138","626",,,,"0","0","0","0"
"1","JSONPlaceholder","PUT :id","PUT","http://jsonplaceholder.org/comments/3","OK","200","117","619",,,,"0","0","0","0"
"1","JSONPlaceholder","DELETE :id","DELETE","http://jsonplaceholder.org/comments/1","OK","200","119","497",,,,"0","0","0","0"